goal_image,steering_user_id,reference_prompt,reference_seed,model,attempt,generated_image,prompt,seed,dreamsim
https://storage.googleapis.com/promptsteering/95281664-483c-4d79-8ffb-52c37f46d547.png,5ed5e13d001f6e0258b6334e,"A stone cottage with a Cotswold stone roof and a large green lawn in front of it. There is a gravel driveway to the left of the lawn and a stone wall to the right. In the background, there are some trees. The image has a warm and inviting atmosphere.",204728088,sd3.5-large-turbo,1,https://storage.googleapis.com/promptsteering/38498086-d416-418f-89df-f745e6c01ab6.png,"A realistic photo of a house with a black roof and white brick walls in the middle of the photo, the bottom half of the photo is a lawn with vertical strips, to the left of this lawn is a rock driveway going up to the house to where the door is which is on the left side, all the way on the right there is a rock wall, and all the way in the back three is a blue sky with clouds and a tree on the right and left
",2051161539,0.6675590872764587
https://storage.googleapis.com/promptsteering/95281664-483c-4d79-8ffb-52c37f46d547.png,5ed5e13d001f6e0258b6334e,"A stone cottage with a Cotswold stone roof and a large green lawn in front of it. There is a gravel driveway to the left of the lawn and a stone wall to the right. In the background, there are some trees. The image has a warm and inviting atmosphere.",204728088,sd3.5-large-turbo,2,https://storage.googleapis.com/promptsteering/02f58e83-b051-4e2d-ac1a-71bd9d27da3d.png,"A realistic photo of a house with a black roof and white brick walls and the door on the left side of the front in the middle of the photo and slightly turned, the bottom half of the photo is a lawn with vertical strips, to the left of this lawn is a rock driveway going up to the house to where the door is which is on the left side, all the way on the right there is a rock wall, and all the way in the back three is a blue sky with clouds and a tree on the right and left
",4147361184,0.635127604007721
https://storage.googleapis.com/promptsteering/95281664-483c-4d79-8ffb-52c37f46d547.png,5ed5e13d001f6e0258b6334e,"A stone cottage with a Cotswold stone roof and a large green lawn in front of it. There is a gravel driveway to the left of the lawn and a stone wall to the right. In the background, there are some trees. The image has a warm and inviting atmosphere.",204728088,sd3.5-large-turbo,3,https://storage.googleapis.com/promptsteering/f6df7e8b-050a-4d5d-837c-69242bb4c5ba.png,"A realistic photo of a house with a black roof and white brick walls and the door on the left side of the front in the middle of the photo and slightly turned, the bottom half of the photo is a lawn with vertical strips, to the left of this lawn is a rock and dirt driveway going up to the house to where the door is which is on the left side, all the way on the right there is a rock wall, and all the way in the back three is a blue sky with clouds and a tree on the right and left
",4147361184,0.6500921249389648
https://storage.googleapis.com/promptsteering/95281664-483c-4d79-8ffb-52c37f46d547.png,5ed5e13d001f6e0258b6334e,"A stone cottage with a Cotswold stone roof and a large green lawn in front of it. There is a gravel driveway to the left of the lawn and a stone wall to the right. In the background, there are some trees. The image has a warm and inviting atmosphere.",204728088,sd3.5-large-turbo,4,https://storage.googleapis.com/promptsteering/b6ccf2f4-1e88-4e70-9e7f-fad8255bdfc6.png,"A realistic photo of a house with a black roof and white brick walls and the door on the left side of the front in the middle of the photo and slightly turned, the bottom half of the photo is a lawn with vertical strips, to the left of this lawn is a dirt driveway going up to the house to where the door is which is on the left side, all the way on the right there is a rock wall, and all the way in the back three is a blue sky with clouds and a tree on the right and left, remember that the door is on the left side of the house and the house is one story, also the house is slightly angled and not lined up with the camera",204728088,0.7663034200668335
https://storage.googleapis.com/promptsteering/95281664-483c-4d79-8ffb-52c37f46d547.png,5ed5e13d001f6e0258b6334e,"A stone cottage with a Cotswold stone roof and a large green lawn in front of it. There is a gravel driveway to the left of the lawn and a stone wall to the right. In the background, there are some trees. The image has a warm and inviting atmosphere.",204728088,sd3.5-large-turbo,5,https://storage.googleapis.com/promptsteering/75aa5244-36bf-453c-83ae-70a7d8f909cd.png,"A realistic photo of a house with a black roof and white brick walls and the door on the left side of the front in the middle of the photo and slightly turned, the bottom half of the photo is a lawn with vertical strips, to the left of this lawn is a dirt driveway going up to the house to where the door is which is on the left side, all the way on the right there is a rock wall, and all the way in the back three is a blue sky with clouds and a tree on the right and left, remember that the door is on the left side of the house and the house is one story, also the house is slightly angled and not lined up with the camera, door on the left side and the roof overhangs on itself",2051161539,0.6413073539733887
https://storage.googleapis.com/promptsteering/04e4839b-cb04-4b80-859f-df17418e14a6.png,5ed5e13d001f6e0258b6334e,"a group of people in a field, with two bulls in the center. The people are dressed in casual clothing, and they are all watching the bulls. In the background, there are some trees. The image is a photograph, and it is taken from a low angle. The people in the image are all looking at the bulls, and they look excited and engaged.",623209909,sd3.5-large-turbo,1,https://storage.googleapis.com/promptsteering/17b07b47-0c2b-4617-abcf-f8abdc76300f.png,"two women looking and bulls on a grassy/muddy field/ with trees in the back
",18149605,0.7064605355262756
https://storage.googleapis.com/promptsteering/04e4839b-cb04-4b80-859f-df17418e14a6.png,5ed5e13d001f6e0258b6334e,"a group of people in a field, with two bulls in the center. The people are dressed in casual clothing, and they are all watching the bulls. In the background, there are some trees. The image is a photograph, and it is taken from a low angle. The people in the image are all looking at the bulls, and they look excited and engaged.",623209909,sd3.5-large-turbo,2,https://storage.googleapis.com/promptsteering/814c0877-2c94-4b19-b001-6751db45e02c.png,"two women looking at bulls on a grassy/muddy field/ with trees in the back, the trees are more branch like ",18149605,0.6139402389526367
https://storage.googleapis.com/promptsteering/04e4839b-cb04-4b80-859f-df17418e14a6.png,5ed5e13d001f6e0258b6334e,"a group of people in a field, with two bulls in the center. The people are dressed in casual clothing, and they are all watching the bulls. In the background, there are some trees. The image is a photograph, and it is taken from a low angle. The people in the image are all looking at the bulls, and they look excited and engaged.",623209909,sd3.5-large-turbo,3,https://storage.googleapis.com/promptsteering/6d096cdf-d1eb-425d-bde9-9a101b0d21a4.png,"two women looking at bulls on a grassy/muddy field/ with trees in the back, the trees are more branch like, two women ",18149605,0.583311140537262
https://storage.googleapis.com/promptsteering/04e4839b-cb04-4b80-859f-df17418e14a6.png,5ed5e13d001f6e0258b6334e,"a group of people in a field, with two bulls in the center. The people are dressed in casual clothing, and they are all watching the bulls. In the background, there are some trees. The image is a photograph, and it is taken from a low angle. The people in the image are all looking at the bulls, and they look excited and engaged.",623209909,sd3.5-large-turbo,4,https://storage.googleapis.com/promptsteering/8274f1cc-c265-40c9-b1ba-b2df159bbd11.png,"two women looking at bulls on a grassy/muddy field/ with trees in the back, the trees are more branch like, two women one on the left the other on the right
",700741554,0.6521519422531128
https://storage.googleapis.com/promptsteering/04e4839b-cb04-4b80-859f-df17418e14a6.png,5ed5e13d001f6e0258b6334e,"a group of people in a field, with two bulls in the center. The people are dressed in casual clothing, and they are all watching the bulls. In the background, there are some trees. The image is a photograph, and it is taken from a low angle. The people in the image are all looking at the bulls, and they look excited and engaged.",623209909,sd3.5-large-turbo,5,https://storage.googleapis.com/promptsteering/91e1cb72-dce5-491c-ac03-5eb06095fa4b.png,"two women looking at bulls on a grassy/muddy field/ with trees in the back, the trees are more branch-like, two women, one on the left the other on the right, the women are at the front of the camera

",700741554,0.6410245299339294
