goal_url,image_url,llm_prompt,original_prompt,score,model,steering_user_id,user_score
https://storage.googleapis.com/promptsteering/64898f09-054e-460d-8d97-a3cfe22fa2c3.png,https://storage.googleapis.com/promptsteering/d5f7d405-b388-43c0-9221-1f967b11e598.png,"In the dim glow of early evening, a quartet of police vehicles forms a protective line across a typical American street. The darkness is punctuated by the vivid strobe of red and blue lights, casting a flickering glow on the façades of nearby buildings. The street, largely deserted at this hour, stands in stark contrast to the flurry of activity surrounding the patrol cars, where officers can be seen coordinating their efforts amidst the ceaseless whirl of lights.","4 police cars in a street in an American looking street in the evening, its dark outside. The lights of the police cars are on. ",0.7869042158126831,sd3.5-large,67178ed32e9cc8c331d63a3c,0.7560663819313049
https://storage.googleapis.com/promptsteering/64898f09-054e-460d-8d97-a3cfe22fa2c3.png,https://storage.googleapis.com/promptsteering/a02edaf2-d576-44b3-870f-97cc40ecb7a2.png,"As night descends, four patrol cars sit idly beside the sidewalks of an American avenue, their engines humming softly in the cool evening air. Each vehicle is adorned with its own set of flashing lights, red and blue beacons that dance rhythmically against the backdrop of a star-filled sky. The surrounding houses and storefronts reflect the pulsating illuminations, creating an almost surreal atmosphere in this otherwise quiet neighborhood.","4 police cars in a street in an American looking street in the evening, its dark outside. The lights of the police cars are on. ",0.6919206380844116,sd3.5-large,67178ed32e9cc8c331d63a3c,0.7560663819313049
https://storage.googleapis.com/promptsteering/64898f09-054e-460d-8d97-a3cfe22fa2c3.png,https://storage.googleapis.com/promptsteering/5e888326-bdc6-41d9-846a-3b99100e4780.png,"In the enveloping darkness of night, the presence of four police cars on a suburban American street becomes a luminous spectacle. Their lights blaze through the night, casting kaleidoscopic reflections across the asphalt and surrounding buildings. The silent urgency of the scene is palpable as the area is bathed intermittently in the vibrant hues of the police beacons, which slice through the stillness like a lighthouse in a storm.","4 police cars in a street in an American looking street in the evening, its dark outside. The lights of the police cars are on. ",0.6950079202651978,sd3.5-large,67178ed32e9cc8c331d63a3c,0.7560663819313049
https://storage.googleapis.com/promptsteering/64898f09-054e-460d-8d97-a3cfe22fa2c3.png,https://storage.googleapis.com/promptsteering/257fe586-0352-4d1f-a185-ad19c371af3b.png,"Against the inky backdrop of evening, four police cars are stationed with precision on an American street. Their lights flash insistently in alternating shades of red and blue, slicing through the darkness and painting the surrounding scene with a sense of urgency and order. The street, lined with trees and quaint residences, is transformed by the presence of law enforcement, the vibrant lightshow reflected in the windows and puddles along the pavement.","4 police cars in a street in an American looking street in the evening, its dark outside. The lights of the police cars are on. ",0.7649876475334167,sd3.5-large,67178ed32e9cc8c331d63a3c,0.7560663819313049
https://storage.googleapis.com/promptsteering/6118c1c6-8180-4128-b1ce-51efb88bd67d.png,https://storage.googleapis.com/promptsteering/052f4eb1-c87c-4958-86d3-b91654122b32.png,"The portrait features a whimsical frog with eyes wide open in a playful manner, its mouth stretched into a broad, goofy grin that exudes charm and character. The vibrant green background complements its smooth, emerald skin, adding a delightful harmony to the composition.",A smilling and goofy frog portrait with a green background,0.6939090490341187,sd3.5-medium,615a6a2991ab16acd75cce86,0.7536939382553101
https://storage.googleapis.com/promptsteering/6118c1c6-8180-4128-b1ce-51efb88bd67d.png,https://storage.googleapis.com/promptsteering/6f8d7e5f-8e0e-451b-8bcb-500d4a57e86c.png,"Captured in the portrait is an endearingly silly frog, its big, bulging eyes dancing with mischief. Its toothy smile is infectious, as if caught in the middle of a laugh. The lush green backdrop enhances the frog’s vibrant green hues and adds to the lively, jovial feel of the scene.",A smilling and goofy frog portrait with a green background,0.6455160975456238,sd3.5-medium,615a6a2991ab16acd75cce86,0.7536939382553101
https://storage.googleapis.com/promptsteering/6118c1c6-8180-4128-b1ce-51efb88bd67d.png,https://storage.googleapis.com/promptsteering/3bd9c8a5-18be-4fe1-a8fc-1c3a7009431e.png,"Conveying a sense of joy and humor, this frog portrait depicts a creature with a cheeky grin plastered across its face, almost human in its goofiness. The entirety of the background shimmers in various shades of green, accentuating the frog’s lively demeanor and adding depth to its charming, silly expression.",A smilling and goofy frog portrait with a green background,0.726090669631958,sd3.5-medium,615a6a2991ab16acd75cce86,0.7536939382553101
https://storage.googleapis.com/promptsteering/6118c1c6-8180-4128-b1ce-51efb88bd67d.png,https://storage.googleapis.com/promptsteering/81f76566-2e67-4804-8b72-8a9b5f87c80a.png,"The art piece portrays a frog with an exaggeratedly joyful expression, its eyes twinkling with mischief and its wide mouth curled up in an amusingly goofy smile. The consistent green background sets a fresh tone, echoing the frog’s own verdant skin and enhancing the overall playful essence of the portrait.",A smilling and goofy frog portrait with a green background,0.7270175218582153,sd3.5-medium,615a6a2991ab16acd75cce86,0.7536939382553101
https://storage.googleapis.com/promptsteering/eaa4e8bd-6a2a-4b91-bc7c-43e0bb977b27.png,https://storage.googleapis.com/promptsteering/35586c07-3884-4992-90dd-b02a52b04c71.png,"The movie poster for ""The Muisters"" captures a spooky yet charming vibe, featuring a family of Frankenstein-esque creatures. At the center stands the mom, her presence illuminated by a haunting moonlit background. She wears an elegant, flowing purple dress adorned with intricate lace patterns, accentuating her green-tinted skin and dark, braided hair. To her left is the towering dad, dressed in a classic black tuxedo with polished shoes, his broad shoulders and square jawline adding to his menacing yet endearing appearance. On her right stands the child, playful and mischievous in a vibrant green suit, complete with oversized shoes and a mischievous grin that suggests all sorts of Halloween antics. The atmosphere of the poster is enhanced by eerie shadows and swirling mist, reminiscent of classic monster films.","halloween movie poster of ""The Muisters"" with a family of frankenstein looking creature. The mom has a purple dress, the dad a tuxedo and the child a green suit",0.5943139791488647,sd3.5-medium,615a6a2991ab16acd75cce86,0.7750759124755859
https://storage.googleapis.com/promptsteering/eaa4e8bd-6a2a-4b91-bc7c-43e0bb977b27.png,https://storage.googleapis.com/promptsteering/ea468c5f-1d56-459f-bdb2-e6aa5c884773.png,"In the Halloween movie poster for ""The Muisters,"" the ghoulish family is arranged against a backdrop of a gothic mansion under a stormy sky. The mother is depicted in a regal purple dress, the fabric glistening with cobweb-like embroidery. Her expression is warm, yet her elongated nails and sharp features suggest a mysterious allure. Beside her is the father, a towering figure in a perfectly tailored tuxedo, his neck bolts glistening under the flashes of lightning. His expression is both stern and protective. The child is prominently placed in front, sporting a playful green suit that matches his green-tinged complexion, with his hair styled in erratic spikes. Enveloped in fog and the glow of jack-o'-lanterns, the scene evokes a perfect balance of humor and horror.","halloween movie poster of ""The Muisters"" with a family of frankenstein looking creature. The mom has a purple dress, the dad a tuxedo and the child a green suit",0.5485853552818298,sd3.5-medium,615a6a2991ab16acd75cce86,0.7750759124755859
https://storage.googleapis.com/promptsteering/eaa4e8bd-6a2a-4b91-bc7c-43e0bb977b27.png,https://storage.googleapis.com/promptsteering/bc7cc019-6891-4903-9eb9-f2e9f1380ee4.png,"The ""The Muisters"" movie poster presents an iconic Halloween tableau, showcasing a family reminiscent of classic horror monsters. Dominating the scene is the mother, poised elegantly in a rich purple dress that shimmers with otherworldly energy. Her skin is a pale green, complemented by deep purple lipstick, and her eyes seem to follow you wherever you look. The father towers beside her in an impeccably-cut black tuxedo, complete with a crisp white shirt and bat-shaped cufflinks, exuding an aura of gentle authority. The child brings a playful energy to the composition, with an emerald green suit and tousled hair, holding a tiny pumpkin. The poster's background is a myriad palette of dark blues and purples, studded with twinkling stars, bats silhouetted against a full moon, and swirling mist that reinforces the macabre yet whimsical theme.","halloween movie poster of ""The Muisters"" with a family of frankenstein looking creature. The mom has a purple dress, the dad a tuxedo and the child a green suit",0.751615047454834,sd3.5-medium,615a6a2991ab16acd75cce86,0.7750759124755859
https://storage.googleapis.com/promptsteering/eaa4e8bd-6a2a-4b91-bc7c-43e0bb977b27.png,https://storage.googleapis.com/promptsteering/4dee961d-84cb-4ded-b5a7-28106544442e.png,"On the hauntingly captivating Halloween movie poster for ""The Muisters,"" we see the intriguingly monstrous family set against the backdrop of a dimly lit forest. The mother stands gracefully, her purple dress flowing like liquid amethyst, the perfect contrast to her pallid skin and jet-black hair cascading down her back. Her expression is serene yet hints at hidden secrets. Next to her stands the father, a figure of formidable stature in his dashing tuxedo, complete with a bow tie and a pocket square. His gentle smile is offset by his bolt-adorned neck and rugged appearance. Their child, wearing a bright green suit that pops against the darker hues, sits atop a pumpkin with a gleeful grin, embodying the playful spirit of a young monster. The overall color scheme of the poster is rich and dark, with elements like hovering bats and creeping fog adding an air of authentic Halloween enchantment.","halloween movie poster of ""The Muisters"" with a family of frankenstein looking creature. The mom has a purple dress, the dad a tuxedo and the child a green suit",0.5044231414794922,sd3.5-medium,615a6a2991ab16acd75cce86,0.7750759124755859
https://storage.googleapis.com/promptsteering/d27efc29-ec94-4a93-9982-dd1c0cb8f092.png,https://storage.googleapis.com/promptsteering/c115a2e6-cae9-4074-a50e-3e8d3744b780.png,"The bright, sunshine-yellow plastic packaging holds a delectable assortment of Barillo cookies, each with a distinctive doughnut-like hole in the center. Peeking through the transparent portion of the pack, the cookies vary in color, displaying an enticing mix of warm golden hue, rich dark brown, and creamy white. Each cookie is precisely 4 centimeters wide, suggesting they offer a perfect two-bite delight. In the foreground of the image, a hand cradles the bag, with three fingers visibly curled around the top, imparting a sense of possession and hunger for the sweet treats within. The package's design features the Barillo logo emblazoned in bold white, set against a vibrant red rectangle that stands out starkly on the top of the pack. The backdrop is a pristine white, subtly enhanced by gentle shading that adds depth to the composition.",A yellow plastic pack of Barillo cookies with holes in them. The cookies inside the bag are 4 centimeters wide with a hole in them. Some are cookie colour and dark brown and some are white. A hand in holding a bag showing only three fingers. There is a white background with a little shade. The Barrilo sign on top of the bag is in white and a red background. ,0.7033932209014893,dall-e-3,66880218c422ed4769465d1f,0.6219777464866638
https://storage.googleapis.com/promptsteering/d27efc29-ec94-4a93-9982-dd1c0cb8f092.png,https://storage.googleapis.com/promptsteering/f9412b6e-68d5-4de4-a26c-e38ab0bba253.png,"Encased in a vivid yellow plastic sleeve, the Barillo cookie package exudes a cheerful and inviting aura. The pack artfully displays its delectable contents—charming round cookies, each with a hole at the center, measuring a precise 4 centimeters in diameter. The cookies present a delightful contrast of colors, with some boasting a classic golden cookie tone, while others are rich in dark chocolate hues, and a few shine in clean, bright white. Captured in the photograph is a hand gripping the package, with only three fingers in view, creating a dynamic interaction with the cheerful packaging. The logo of Barillo is prominently printed atop the bag in striking white letters against a vivacious red background, effortlessly catching the eye. The minimalist white background, subtly shadowed, emphasizes the colors of the packaging and the exposed cookies, creating a simplistic yet appealing visual.",A yellow plastic pack of Barillo cookies with holes in them. The cookies inside the bag are 4 centimeters wide with a hole in them. Some are cookie colour and dark brown and some are white. A hand in holding a bag showing only three fingers. There is a white background with a little shade. The Barrilo sign on top of the bag is in white and a red background. ,0.5860884189605713,dall-e-3,66880218c422ed4769465d1f,0.6219777464866638
